序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S285541838,繁星推甄,繁星生,外語群,648,雲林縣私立揚子高中,應用英語科
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S8AC3A3C08,甄選入學,甄選一般生,商管群,330,桃園縣私立新興高中,商業經營科
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SD086953D7,甄選入學,甄選一般生,商管群,880,雲林縣國立土庫商工,商業經營科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S75A6C6D3D,甄選入學,甄選一般生,餐旅群,408,台中市私立嶺東高中,觀光事業科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SAECF22E8A,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S87CE3347F,甄選入學,甄選一般生,餐旅群,303,新竹市私立光復高中,餐飲管理科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S7C6647093,身心障礙單招,身心障礙生,,885,澎湖縣國立馬公高中,普通科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SB4DFBE086,運動績優單招,一般生,,504,彰化縣立和美高級中學,普通科
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S57B201DDD,聯合登記分發,聯登一般生,商管群,235,台北市市立松山家商,資料處理科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SBC3C5CC82,聯合登記分發,聯登一般生,商管群,330,桃園縣私立新興高中,應用日語科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S73FAD03D6,聯合登記分發,聯登一般生,商管群,428,台中縣國立豐原高商,資料處理科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S6723CAED9,聯合登記分發,聯登一般生,商管群,708,台南市國立台南海事,商業經營科
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SD08D9CDA9,聯合登記分發,聯登一般生,商管群,820,高雄市市立高雄高商,會計事務科
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SD72E21C99,聯合登記分發,聯登一般生,商管群,812,高雄縣國立鳳山商工,國際貿易科
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SAC7643AE8,聯合登記分發,聯登一般生,商管群,830,高雄縣國立旗山農工,餐飲技術科
16,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S4F699EED4,聯合登記分發,聯登一般生,外語群英語類,427,苗栗縣國立卓蘭高級中等學校,應用英語科
17,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SE9B61B932,聯合登記分發,聯登一般生,外語群英語類,412,台中市國立台中家商,應用英語科
18,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SBF239B96F,聯合登記分發,聯登一般生,餐旅群,420,台中縣私立明道高中,餐飲管理科
19,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S5301EFE43,聯合登記分發,聯登一般生,餐旅群,710,台南市私立長榮高中,觀光事業科
20,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S477FE00D7,聯合登記分發,聯登一般生,餐旅群,261,宜蘭縣國立頭城家商,旅遊事務科
21,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S634D6F973,繁星推甄,繁星生,餐旅群,961,台東縣國立成功商業水產職業學校,綜合高中部
22,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S44E281EA8,繁星推甄,繁星生,餐旅群,406,台中市葳格高級中學,餐飲管理科
23,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S66269BBEC,繁星推甄,繁星生,餐旅群,100,台北市私立開平餐飲職業學校,餐飲管理科
24,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SA7B56EA91,繁星推甄,繁星生,餐旅群,906,高雄縣私立普門高中,餐飲管理科
25,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S3EC612400,技優甄審,技優生,餐旅類,513,彰化縣國立北斗家商,餐飲技術科
26,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SF80824613,特殊選才,特選-扎根計畫,,880,澎湖縣國立澎湖海事高職,餐飲管理科
27,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S182368117,特殊選才,特選-扎根計畫,,885,澎湖縣國立澎湖海事高職,餐飲管理科
28,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S8D04DA728,特殊選才,特選-扎根計畫,,880,澎湖縣國立澎湖海事高職,餐飲管理科
29,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S2155D0287,甄選入學,甄選一般生,食品類,826,高雄縣國立岡山農工,食品科
30,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S79BDEB10B,甄選入學,甄選一般生,餐旅群,800,高雄市私立三信家商,餐飲管理科
31,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SE5046C450,甄選入學,中低/低收入戶生,餐旅群,831,高雄縣私立中山工商,餐飲管理科
32,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S1196207BB,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
33,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S629FF6A2C,甄選入學,甄選一般生,餐旅群,822,國立高餐大附屬餐旅中學,餐飲管理科
34,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SFF9816A05,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,觀光事業科
35,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SEBBAF3B68,甄選入學,離島地區,餐旅群,882,澎湖縣國立馬公高中,觀光事業科
36,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SC087BA4DD,甄選入學,離島地區,餐旅群,885,澎湖縣國立馬公高中,觀光事業科
37,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S09B1716FD,甄選入學,離島地區,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
38,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S69C0F2B7C,甄選入學,離島地區,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
39,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S47BE57B5E,甄選入學,甄選一般生,餐旅群,428,台中市明德高級中學,餐飲管理科
40,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S17A65DF28,甄選入學,甄選一般生,餐旅群,427,台中市明德高級中學,餐飲管理科
41,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S5419FE906,甄選入學,甄選一般生,餐旅群,367,苗栗縣立三義高級中學,餐飲管理科
42,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S3D904CC37,甄選入學,甄選一般生,餐旅群,403,台中市私立新民高中,觀光事業科
43,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S13D17A128,甄選入學,甄選一般生,餐旅群,330,桃園縣私立育達高中,餐飲管理科
44,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SB786FC6D0,甄選入學,甄選原住民生,餐旅群,413,台中縣私立明台高中,餐飲技術科
45,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SAAF0B822C,甄選入學,甄選一般生,餐旅群,412,台中縣私立明道高中,餐飲管理科
46,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SC742ED2C5,甄選入學,中低/低收入戶生,餐旅群,324,苗栗縣立三義高級中學,餐飲管理科
47,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S581083DB9,甄選入學,甄選一般生,餐旅群,330,桃園縣私立永平工商,餐飲管理科
48,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SC3219BB3D,運動績優單招,一般生,,500,彰化縣私立達德商工,餐飲管理科
49,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S5F27A60FA,運動績優單招,一般生,,643,雲林縣私立義峰高中,餐飲管理科
50,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S5AF28A462,運動績優單招,一般生,,330,桃園縣國立桃園高中,普通科
51,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S1C14F635F,聯合登記分發,聯登一般生,餐旅群,320,桃園縣私立育達高中,餐飲管理科
52,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S325412AC7,聯合登記分發,聯登一般生,餐旅群,326,桃園縣私立永平工商,餐飲管理科
53,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S5D866A744,聯合登記分發,聯登一般生,餐旅群,242,台中市明德高級中學,餐飲管理科
54,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SBAF35622A,聯合登記分發,聯登一般生,餐旅群,412,台中縣私立僑泰高中,餐飲管理科
55,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SD9B37F7FE,聯合登記分發,聯登一般生,餐旅群,708,台南市國立台南家齊高級中等學校,餐飲管理科
56,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SEC3FDEC25,聯合登記分發,聯登一般生,餐旅群,806,高雄縣私立中山工商,餐飲管理科
57,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S91C65CC08,繁星推甄,繁星生,電機與電子群,625,台中縣國立東勢高工,資訊科
58,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SA160E4486,特殊選才,特選-技職生,,324,桃園縣私立啟英高中,資訊科
59,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S9F502C723,特殊選才,特選-技職生,,244,桃園縣私立啟英高中,資訊科
60,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SAC10E233C,特殊選才,特選-技職生,,320,高級中等教育階段完成非學校型態實驗教,普通科
