序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S35F0F8351,繁星推甄,繁星生,外語群英語類,438,台中縣私立致用高中,應用外語科
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SA555CAE3C,繁星推甄,繁星生,外語群英語類,208,台北縣國立華僑中學,綜合高中部
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SC374CA1BD,繁星推甄,繁星生,外語群英語類,111,台北市市立士林高商,應用外語科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S78E5163D3,技優甄審,技優生,商業類,831,高雄縣私立中山工商,應用外語科(英文)
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S194C4F755,甄選入學,甄選一般生,餐旅群,744,臺南縣國立曾文家商,綜合高中部
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S047C95FB1,甄選入學,甄選一般生,餐旅群,814,高雄縣國立鳳山商工,觀光事業科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S79527BE09,甄選入學,甄選一般生,商管群,428,苗栗縣國立卓蘭高級中等學校,國際貿易科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S58E6ABE46,甄選入學,甄選一般生,商管群,404,台中縣私立僑泰高中,應用外語科(英文)
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S71094DA58,甄選入學,甄選一般生,商管群,880,澎湖縣國立馬公高中,資料處理科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SFBD5D91AC,甄選入學,甄選一般生,商管群,402,台中縣私立僑泰高中,應用外語科(英文)
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S857B16E00,甄選入學,甄選一般生,商管群,320,桃園縣私立新興高中,應用外語科(日文)
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SD7D68480B,甄選入學,甄選一般生,商管群,334,桃園縣私立新興高中,應用外語科(日文)
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S608BE8FF3,甄選入學,甄選一般生,商管群,320,桃園縣私立新興高中,應用外語科(日文)
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S8F055509D,甄選入學,甄選一般生,商管群,338,桃園縣私立新興高中,應用外語科(日文)
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S4099B2B6A,甄選入學,甄選一般生,商管群,806,高雄市私立復華高中,應用外語科
16,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S57E9784CF,甄選入學,甄選一般生,商管群,320,桃園縣私立啟英高中,應用外語科(英文)
17,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SB2BEB93B1,甄選入學,甄選一般生,商管群,709,台南市國立台南高商,商業經營科
18,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S816A39D07,甄選入學,甄選一般生,商管群,509,彰化縣國立秀水高工,建築科
19,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S768BBC999,甄選入學,甄選一般生,商管群,338,桃園縣私立新興高中,電子商務(處理)科
20,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S0BF4B8770,甄選入學,甄選一般生,商管群,830,高雄縣國立鳳山商工,商業經營科
21,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S798144540,甄選入學,甄選一般生,商管群,338,桃園縣私立啟英高中,應用外語科(英文)
22,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S5F0B905B9,甄選入學,甄選一般生,外語群英語類,247,台北縣國立三重商工,應用外語科(英文)
