序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S9EED9137B,甄試分發入學,一般生,,302,新竹縣國立關西高中,綜合高中部
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S99B3722EE,身心障礙單招,一般生,,885,澎湖縣國立馬公高中,普通科
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S30BEFC9F9,甄選入學,甄選一般生,商管群,802,高雄市私立立志高中,資料處理科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S0502D1AEB,甄選入學,甄選一般生,商管群,813,高雄市私立立志高中,資料處理科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S75A5176F9,甄選入學,甄選一般生,商管群,811,高雄市市立三民家商,資料處理科
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S28345D817,甄選入學,甄選一般生,外語群英語類,330,桃園縣私立新興高中,應用英語科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SFC94FEB29,甄選入學,甄選一般生,外語群英語類,320,桃園縣私立啟英高中,應用英語科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S8D7BC173E,甄選入學,甄選一般生,外語群英語類,320,桃園縣私立六和高中,應用英語科
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S550F0D711,甄選入學,甄選一般生,餐旅群,429,台中市私立宜寧高中,觀光事業科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S00BA68BAA,甄選入學,甄選一般生,餐旅群,881,澎湖縣國立馬公高中,觀光事業科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S7E7B6E2B3,甄選入學,甄選一般生,餐旅群,326,桃園市立羅浮高級中學,餐飲管理科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SFD7F47B84,聯合登記分發,聯登一般生,商管群,234,台北縣國立三重商工,商業經營科
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S36288FF16,聯合登記分發,聯登一般生,商管群,351,苗栗縣縣立興華中學,資料處理科
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S02CC5FA4C,聯合登記分發,聯登一般生,商管群,511,彰化縣國立彰化高商,商業經營科
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SA8129C007,聯合登記分發,聯登一般生,商管群,652,雲林縣國立北港高中,資料處理科
16,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SB9F6D3A12,聯合登記分發,聯登一般生,商管群,811,高雄市私立立志高中,資料處理科
