序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,食品科學系,四技日間部,日間部四技食品科學系四甲,S6B150A5DB,轉學考單招,一般生,,231,,
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S50336FA1A,運動績優單招,一般生,,500,彰化縣立彰化藝術高級中學,普通科
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S347862998,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S825556F40,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S0DE11B876,甄選入學,甄選一般生,餐旅群,302,新竹縣私立忠信高中,綜合高中部
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S32660D179,甄選入學,甄選一般生,商管群,334,桃園縣私立新興高中,國際貿易科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S51E04158B,甄選入學,甄選一般生,商管群,320,桃園縣私立新興高中,商業經營科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S6D6AEE8B5,甄選入學,甄選一般生,商管群,428,台中市私立新民高中,商業經營科
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S4DFE1FF91,甄選入學,甄選一般生,商管群,637,雲林縣私立永年高中,綜合高中部
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S3BEB3B81E,甄選入學,甄選一般生,商管群,201,基隆市私立二信高中,資料處理科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SB102069E0,甄選入學,甄選一般生,商管群,320,桃園縣國立中壢高商,國際貿易科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S9C9B38EC6,甄選入學,甄選一般生,商管群,303,新竹縣私立忠信高中,綜合高中部
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S141E1CE58,甄選入學,甄選一般生,商管群,640,雲林縣國立斗六家商,商業經營科
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S909D2E0BD,甄選入學,甄選一般生,商管群,735,臺南縣國立新營高中,電子商務(處理)科
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SE51B97286,甄選入學,甄選一般生,商管群,407,台中市私立新民高中,應用英語科
16,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SA3E60E8E2,甄選入學,甄選一般生,商管群,304,新竹市私立光復高中,資料處理科
17,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SD003C8C9B,甄選入學,甄選一般生,商管群,701,台南市國立台南高商,商業經營科
18,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S1ECF85550,甄選入學,甄選一般生,外語群英語類,235,台北市私立金甌女中,應用英語科
19,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S0E6632A8F,甄選入學,甄選一般生,外語群英語類,324,桃園縣私立育達高中,應用英語科
20,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S3E7B71278,甄選入學,甄選一般生,外語群英語類,325,桃園縣私立育達高中,應用英語科
21,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SEC70308F1,甄選入學,甄選一般生,外語群英語類,325,桃園縣私立育達高中,應用英語科
22,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S548472920,聯合登記分發,聯登一般生,商管群,338,桃園縣私立新興高中,應用日語科
23,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S49EC378B7,聯合登記分發,聯登一般生,商管群,320,桃園縣私立啟英高中,資料處理科
24,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SB268EB1BA,聯合登記分發,聯登一般生,商管群,403,台中市私立新民高中,應用日語科
25,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S7C0D618FD,聯合登記分發,聯登一般生,商管群,557,南投縣國立竹山高中,商業經營科
26,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S25CCE7371,聯合登記分發,聯登一般生,商管群,635,雲林縣國立虎尾農工,商業經營科
27,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SB9B9F8340,聯合登記分發,聯登一般生,商管群,260,宜蘭縣國立宜蘭高商,商業經營科
28,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SC0C601D8E,聯合登記分發,聯登一般生,外語群英語類,204,台北市市立內湖高工,應用英語科
