序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S4FC33A04D,繁星推甄,繁星生,外語群英語類,520,雲林縣私立義峰高中,應用外語科(英文)
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SC881687FA,繁星推甄,繁星生,外語群英語類,247,台北縣私立淡江高中,綜合高中部
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S3771D4098,繁星推甄,繁星生,外語群英語類,241,台北縣私立格致高中,應用外語科(英文)
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SB79D65466,技優甄審,技優生,商管群,800,高雄市私立復華高中,應用外語科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SBF76143D8,技優甄審,技優生,商管群,632,雲林縣私立義峰高中,應用外語科(英文)
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SC2BCC2882,技優甄審,技優生,商管群,237,台北縣私立中華高中,資料處理科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S8B8D86981,甄選入學,甄選一般生,餐旅群,427,台中縣私立明台高中,餐飲管理科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S1B7D11EE1,甄選入學,甄選一般生,商管群,811,高雄縣私立中山工商,應用外語科(英文)
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SD833421CE,甄選入學,甄選一般生,商管群,241,台北縣私立格致高中,資料處理科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S8C573F6A1,甄選入學,甄選一般生,商管群,364,苗栗縣國立苗栗高商,應用外語科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S5593C3979,甄選入學,甄選一般生,商管群,241,台北縣私立清傳高商,商業經營科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SA5709A4CF,甄選入學,甄選一般生,商管群,324,桃園縣私立育達高中,資料處理科
13,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S48B984951,甄選入學,甄選一般生,商管群,600,嘉義市私立興華高中,應用外語科(英文)
14,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SD3E2D7273,甄選入學,甄選一般生,商管群,334,桃園縣私立新興高中,電子商務(處理)科
15,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SC71CAFEE9,甄選入學,甄選一般生,商管群,334,桃園縣私立新興高中,應用外語科(英文)
16,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S4E5ED4650,甄選入學,甄選一般生,商管群,604,嘉義市國立華南高商,國際貿易科
17,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SA0A6FF013,甄選入學,甄選一般生,商管群,541,南投縣國立南投高商,應用外語科(英文)
18,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S9984DFFD7,甄選入學,甄選一般生,外語群英語類,207,基隆市私立二信高中,應用外語科(英文)
19,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SEE2015423,甄選入學,甄選一般生,外語群英語類,429,台中市私立新民高中,應用外語科(英文)
20,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S949CDBDEB,甄選入學,甄選一般生,外語群英語類,330,桃園縣私立新興高中,應用外語科(英文)
21,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S0777C401C,甄選入學,甄選一般生,外語群英語類,640,雲林縣私立揚子高中,應用外語科(英文)
22,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S6FA1FCB27,甄選入學,甄選一般生,外語群英語類,540,南投縣國立南投高商,應用外語科(英文)
23,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S0B5C6ADF3,甄選入學,離島地區,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
24,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SBB83C35E7,身心障礙單招,身心障礙生,,880,澎湖縣國立馬公高中,觀光事業科
25,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S3C4A80882,身心障礙單招,身心障礙生,,880,澎湖縣國立馬公高中,觀光事業科
26,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SC069EF03D,運動績優單招,一般生,,806,高雄市私立復華高中,電子商務(處理)科
27,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S9D960457B,聯合登記分發,聯登一般生,商管群,220,台北縣國立海山高工,汽車科
28,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SEA2F8581F,聯合登記分發,聯登一般生,商管群,116,台北市市立松山家商,會計事務科
29,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SF3D853BFA,聯合登記分發,聯登一般生,商管群,249,台北縣國立三重商工,國際貿易科
30,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S7E6EBA920,聯合登記分發,聯登一般生,商管群,335,桃園縣私立振聲高中,電子商務(處理)科
31,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S5ACD8E14A,聯合登記分發,聯登一般生,商管群,303,新竹縣縣立湖口中學,商業經營科
32,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SE1D06AFC2,聯合登記分發,聯登一般生,商管群,406,台中市私立新民高中,國際貿易科
33,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SAFE69E88D,聯合登記分發,聯登一般生,商管群,369,苗栗縣國立卓蘭高級中等學校,資料處理科
34,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S305DD2A31,聯合登記分發,聯登一般生,商管群,434,台中市私立嶺東高中,國際貿易科
35,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S38E3C8CB8,聯合登記分發,聯登一般生,商管群,512,彰化縣國立員林高中,普通科
36,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SEBCCBF6D0,聯合登記分發,聯登一般生,商管群,852,台南市國立台南高商,資料處理科
37,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S28161379C,聯合登記分發,聯登一般生,商管群,701,臺南縣國立曾文家商,資料處理科
38,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SE038C5CC6,聯合登記分發,聯登一般生,外語群英語類,221,基隆市國立基隆商工,資訊科
39,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S257C07E64,聯合登記分發,聯登一般生,外語群英語類,239,,
40,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S3668B7369,聯合登記分發,聯登一般生,外語群英語類,407,台中縣國立沙鹿高工,電子科
41,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S28D4751E4,聯合登記分發,聯登一般生,外語群英語類,648,雲林縣國立西螺農工,綜合高中部
42,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SA61CD7BF6,聯合登記分發,聯登一般生,餐旅群,110,台北市市立大安高工,冷凍空調科
